,source_id,food_id,flavor_name,food_name,orig_content,flavor_group,normalized
0,82,197,papaya,Broad bean,0.42600000099999996,fruity,1e-05
1,446,197,diphenyl oxide,Broad bean,2627.75,green,0.07013
2,465,197,everlasting,Broad bean,3682.0,floral,0.09827
3,474,197,feta cheese,Broad bean,5131.25,milky,0.13695
4,484,197,foliage,Broad bean,3306.0,floral,0.08823
5,556,197,ketone,Broad bean,3248.0,chemical,0.08668
6,567,197,leathery,Broad bean,16031.0,animal,0.42785
7,570,197,lemon peel,Broad bean,3442.25,fruity,0.09187
8,633,197,neroli,Broad bean,0.382500001,floral,1e-05
9,358,943,cananga,Red wine,650.0,floral,0.7429
10,371,943,castoreum,Red wine,216.0,animal,0.24687
11,812,943,tonka,Red wine,0.56,smoky,0.00064
12,857,943,cookedvegetable,Red wine,8.39,green,0.00959
13,371,949,castoreum,White wine,66.5,animal,0.01704
14,446,949,diphenyl oxide,White wine,65.6,green,0.01681
15,465,949,everlasting,White wine,40.4,floral,0.01035
16,484,949,foliage,White wine,75.7,floral,0.0194
17,556,949,ketone,White wine,259.8,chemical,0.06656
18,570,949,lemon peel,White wine,3327.7,fruity,0.85259
19,787,949,styrene,White wine,48.9,wine_like,0.01253
20,846,949,watercress,White wine,12.39,fruity,0.00317
21,847,949,watery,White wine,6.0,wine_like,0.00154
22,857,949,cookedvegetable,White wine,0.073,green,2e-05
23,433,56,cypress,"Mandarin orange (Clementine, Tangerine)",0.1,green,4e-05
24,446,56,diphenyl oxide,"Mandarin orange (Clementine, Tangerine)",150.85,green,0.06055
25,465,56,everlasting,"Mandarin orange (Clementine, Tangerine)",310.8,floral,0.12475
26,474,56,feta cheese,"Mandarin orange (Clementine, Tangerine)",318.95,milky,0.12803
27,484,56,foliage,"Mandarin orange (Clementine, Tangerine)",568.9,floral,0.22835
28,556,56,ketone,"Mandarin orange (Clementine, Tangerine)",404.5,chemical,0.16237
29,570,56,lemon peel,"Mandarin orange (Clementine, Tangerine)",661.45,fruity,0.2655
30,678,56,plant,"Mandarin orange (Clementine, Tangerine)",15.0,green,0.00602
31,700,56,red hots,"Mandarin orange (Clementine, Tangerine)",0.1,fruity,4e-05
32,753,56,sawen,"Mandarin orange (Clementine, Tangerine)",9.15,wine_like,0.00367
33,787,56,styrene,"Mandarin orange (Clementine, Tangerine)",51.5,wine_like,0.02067
34,433,57,cypress,Sweet orange,0.05,green,1e-05
35,446,57,diphenyl oxide,Sweet orange,236.4,green,0.02637
36,465,57,everlasting,Sweet orange,583.0,floral,0.06502
37,474,57,feta cheese,Sweet orange,638.9,milky,0.07126
38,484,57,foliage,Sweet orange,986.35,floral,0.11001
39,556,57,ketone,Sweet orange,707.25,chemical,0.07888
40,570,57,lemon peel,Sweet orange,1556.65,fruity,0.17362
41,633,57,neroli,Sweet orange,0.24000000000000002,floral,3e-05
42,678,57,plant,Sweet orange,4107.814999905,green,0.45816
43,683,57,powderful,Sweet orange,0.964271894,fruity,0.00011
44,753,57,sawen,Sweet orange,48.2,wine_like,0.00538
45,787,57,styrene,Sweet orange,100.0,wine_like,0.01115
46,433,88,cypress,Barley,2.6,green,7e-05
47,446,88,diphenyl oxide,Barley,3390.1227528,green,0.09498
48,465,88,everlasting,Barley,6677.037191,floral,0.18707
49,474,88,feta cheese,Barley,3610.1633708,milky,0.10115
50,484,88,foliage,Barley,3980.262382,floral,0.11151
51,556,88,ketone,Barley,5622.762782,chemical,0.15753
52,570,88,lemon peel,Barley,10114.8,fruity,0.28339
53,787,88,styrene,Barley,2294.857303,wine_like,0.06429
54,882,88,brownsugar,Barley,0.1,sweet,0.0
55,433,268,cypress,Beer,9.41,green,0.00022
56,446,268,diphenyl oxide,Beer,335.755,green,0.00803
57,465,268,everlasting,Beer,161.17,floral,0.00385
58,474,268,feta cheese,Beer,50.0,milky,0.0012
59,484,268,foliage,Beer,193.193,floral,0.00462
60,556,268,ketone,Beer,235.347,chemical,0.00563
61,570,268,lemon peel,Beer,548.035,fruity,0.0131
62,633,268,neroli,Beer,0.81,floral,2e-05
63,753,268,sawen,Beer,40240.0,wine_like,0.96181
64,756,268,sea breeze,Beer,34.32,wine_like,0.00082
65,787,268,styrene,Beer,11.76,wine_like,0.00028
66,838,268,very sweet,Beer,0.024375166,sweet,0.0
67,846,268,watercress,Beer,3.5722347809999997,fruity,9e-05
68,847,268,watery,Beer,7.376623479,wine_like,0.00018
69,857,268,cookedvegetable,Beer,0.275236541,green,1e-05
70,882,268,brownsugar,Beer,6.8686812790000005,sweet,0.00016
71,446,2,diphenyl oxide,Savoy cabbage,70.0,green,0.05279
72,465,2,everlasting,Savoy cabbage,172.0,floral,0.12971
73,474,2,feta cheese,Savoy cabbage,93.0,milky,0.07013
74,484,2,foliage,Savoy cabbage,90.0,floral,0.06787
75,556,2,ketone,Savoy cabbage,140.0,chemical,0.10558
76,570,2,lemon peel,Savoy cabbage,760.0,fruity,0.57313
77,633,2,neroli,Savoy cabbage,1.05333334,floral,0.00079
78,446,4,diphenyl oxide,Kiwi,115.0,green,0.11307
79,465,4,everlasting,Kiwi,197.0,floral,0.19369
80,474,4,feta cheese,Kiwi,173.0,milky,0.17009
81,484,4,foliage,Kiwi,206.0,floral,0.20254
82,556,4,ketone,Kiwi,181.0,chemical,0.17796
83,570,4,lemon peel,Kiwi,144.0,fruity,0.14158
84,633,4,neroli,Kiwi,1.03,floral,0.00101
85,847,4,watery,Kiwi,0.051666668,wine_like,5e-05
86,446,5,diphenyl oxide,Allium,1327.0,green,0.10719
87,465,5,everlasting,Allium,1789.0,floral,0.1445
88,474,5,feta cheese,Allium,2231.0,milky,0.18021
89,484,5,foliage,Allium,2158.0,floral,0.17431
90,556,5,ketone,Allium,1745.0,chemical,0.14095
91,570,5,lemon peel,Allium,3114.0,fruity,0.25153
92,604,5,mercaptan,Allium,5.01,chemical,0.0004
93,633,5,neroli,Allium,11.19,floral,0.0009
94,446,6,diphenyl oxide,Garden onion,286.51,green,0.08455
95,465,6,everlasting,Garden onion,274.27,floral,0.08094
96,474,6,feta cheese,Garden onion,553.99,milky,0.16348
97,484,6,foliage,Garden onion,395.31,floral,0.11666
98,556,6,ketone,Garden onion,528.51349412,chemical,0.15597
99,567,6,leathery,Garden onion,0.14,animal,4e-05
100,570,6,lemon peel,Garden onion,220.15,fruity,0.06497
101,604,6,mercaptan,Garden onion,1.0101,chemical,0.0003
102,846,6,watercress,Garden onion,26.7692,fruity,0.0079
103,847,6,watery,Garden onion,1102.0,wine_like,0.3252
104,446,7,diphenyl oxide,Leek,58.0,green,0.07612
105,465,7,everlasting,Leek,150.0,floral,0.19685
106,474,7,feta cheese,Leek,110.0,milky,0.14436
107,484,7,foliage,Leek,112.0,floral,0.14698
108,556,7,ketone,Leek,220.0,chemical,0.28871
109,570,7,lemon peel,Leek,112.0,fruity,0.14698
110,446,8,diphenyl oxide,Garlic,1130.0,green,0.09205
111,465,8,everlasting,Garlic,3118.0,floral,0.254
112,474,8,feta cheese,Garlic,2051.0,milky,0.16708
113,484,8,foliage,Garlic,2225.0,floral,0.18125
114,556,8,ketone,Garlic,1577.0,chemical,0.12847
115,570,8,lemon peel,Garlic,2174.0,fruity,0.1771
116,604,8,mercaptan,Garlic,0.030100000000000002,chemical,0.0
117,633,8,neroli,Garlic,0.26,floral,2e-05
118,846,8,watercress,Garlic,0.3581,fruity,3e-05
119,446,9,diphenyl oxide,Chives,1385.75,green,0.11012
120,465,9,everlasting,Chives,2158.0,floral,0.17149
121,474,9,feta cheese,Chives,1351.0,milky,0.10736
122,484,9,foliage,Chives,2372.25,floral,0.18852
123,556,9,ketone,Chives,2215.5,chemical,0.17606
124,570,9,lemon peel,Chives,3049.75,fruity,0.24236
125,604,9,mercaptan,Chives,13.5,chemical,0.00107
