,food_id,food_name,flavor_group,orig_content,normalized
0,2,Savoy cabbage,chemical,140.0,0.10558
6,4,Kiwi,chemical,181.0,0.17796
12,5,Allium,chemical,1750.01,0.14135
18,6,Garden onion,chemical,529.52359412,0.15627
24,7,Leek,chemical,220.0,0.28871
29,8,Garlic,chemical,1577.0301,0.12847
34,9,Chives,chemical,2229.0,0.17712999999999998
39,11,Cashew nut,chemical,9007.05,0.16253
44,12,Pineapple,chemical,230.45,0.16884
51,13,Dill,chemical,771.9704687999999,0.11523
57,15,Wild celery,chemical,371.25,0.18716
62,16,Peanut,chemical,31305.35,0.15509
69,17,Burdock,chemical,168.0,0.11038
74,18,Horseradish,chemical,277.0,0.11113
79,19,Tarragon,chemical,10.7,0.27089
85,21,Asparagus,chemical,3172.75,0.22344
90,22,Oat,chemical,8491.917295700001,0.16528
97,23,Star fruit,chemical,213.0,0.1186
102,24,Brazil nut,chemical,2376.85,0.15725
107,25,Common beet,chemical,612.0,0.20852
112,27,Chinese mustard,chemical,16.2,0.00806
116,28,Swede,chemical,103.0,0.19185
120,30,Common cabbage,chemical,1671.6,0.18529
125,31,Cauliflower,chemical,2404.0,0.24151
131,32,Brussel sprouts,chemical,1560.0,0.10709
136,33,Kohlrabi,chemical,0.076,7e-05
141,34,Broccoli,chemical,1623.62,0.15064
146,35,Chinese cabbage,chemical,144.16,0.27026
152,36,Turnip,chemical,1853.78,0.20171
158,37,Pigeon pea,chemical,2530.0,0.16697
163,38,Tea,chemical,4.0,0.02155
170,40,Pepper,chemical,5214.2,0.16504
175,41,Papaya,chemical,115.65,0.17875
180,42,Safflower,chemical,2472.0,0.16789
185,43,Caraway,chemical,914.0,0.15546
190,44,Pecan nut,chemical,4435.0,0.1937
195,45,Chestnut,chemical,260.0,0.2305
200,47,Chickpea,chemical,5049.0,0.16927
205,48,Endive,chemical,840.2,0.18428
210,49,Chicory,chemical,96.0,0.05245
215,50,Chinese cinnamon,chemical,166.0,0.12003
222,52,Watermelon,chemical,3253.0,0.20902
230,54,Lemon,chemical,58.0,0.20034
236,56,"Mandarin orange (Clementine, Tangerine)",chemical,404.5,0.16237
242,57,Sweet orange,chemical,707.25,0.07888
248,58,Coffee,chemical,1339.0,0.19786
254,59,Arabica coffee,chemical,1339.0,0.19781
260,60,Robusta coffee,chemical,1339.0,0.19786
269,64,Muskmelon,chemical,463.0,0.44431
275,65,Cucumber,chemical,490.8821,0.19985999999999998
281,66,Cucurbita,chemical,8554.5,0.16443
288,72,Wild carrot,chemical,271.0,0.11681
293,73,Japanese persimmon,chemical,97.0,0.18476
299,76,Loquat,chemical,72.0,0.19945
304,77,Rocket salad (ssp.),chemical,5.08,0.12168
306,79,Common buckwheat,chemical,4721.0,0.18131
311,81,Fig,chemical,1233.2,0.2002
316,82,Fennel,chemical,3194.850000191,0.1739
323,83,Strawberry,chemical,489.0,0.22436
329,85,Soy bean,chemical,67275.25,0.15334
335,86,Sunflower,chemical,11937.0,0.16468
341,87,Sea-buckthornberry,chemical,38.38,0.99353
343,88,Barley,chemical,5622.762782,0.15753
353,91,Swamp cabbage,chemical,1061.25,0.2018
358,92,Sweet potato,chemical,1486.8300000000002,0.17759
363,93,Black walnut,chemical,1778.0,0.18643
368,94,Common walnut,chemical,1316.5,0.17884
373,95,Lettuce,chemical,1173.65,0.1828
379,98,Lentils,chemical,8865.25,0.16229
385,99,Garden cress,chemical,242.0,0.19836
391,101,Flaxseed,chemical,3525.0,0.18392
398,105,Apple,chemical,413.25,0.14026
404,106,Mango,chemical,490.0,0.32775
409,112,Spearmint,chemical,1207.0,0.19688
414,113,Peppermint,chemical,195.0,0.19697
422,119,Sweet basil,chemical,2059.0,0.1589
427,120,Evening primrose,chemical,568.5,0.15708
432,121,Olive,chemical,93.218815747,0.15758
441,124,Common oregano,chemical,500.0,0.11105
447,125,Rice,chemical,15562.0,0.20941
452,126,Millet,chemical,4542.0,0.2793
457,127,Poppy,chemical,2401.1,0.20205
462,129,Parsnip,chemical,405.0180969,0.18893
468,130,Avocado,chemical,855.25,0.21526
473,131,Parsley,chemical,2946.276400001,0.15073999999999999
478,133,Lima bean,chemical,7334.5,0.16093
483,134,Common bean,chemical,38074.2,0.15709
488,135,Date,chemical,415.5,0.15161
494,136,Black chokeberry,chemical,8.56,0.89727
496,138,Pine nut,chemical,2024.0,0.18665
501,139,Pepper (Spice),chemical,616.0,0.06774
506,140,Pistachio,chemical,7638.0,0.17459
511,141,Common pea,chemical,10484.8,0.16967
516,142,Purslane,chemical,865.3,0.19066
521,143,"Prunus (Cherry, Plum)",chemical,184.0,0.21247
526,144,Apricot,chemical,1490.0,0.14658
531,145,Sweet cherry,chemical,26.05,0.16457999999999998
536,146,Sour cherry,chemical,26.04,0.73705
538,147,European plum,chemical,445.45,0.21042
544,148,Almond,chemical,11897.488299999,0.18375000000000002
550,149,Peach,chemical,1856.1,0.24295
555,150,Guava,chemical,402.1,0.24809
561,152,Pear,chemical,283.95,0.18742
566,153,Radish,chemical,321.25,0.15938
571,154,Garden rhubarb,chemical,116.0,0.18228
576,155,Blackcurrant,chemical,0.12,0.00317
582,158,Watercress,chemical,1775.5,0.20341
587,159,Rosemary,chemical,172.0,0.18978
593,162,Red raspberry,chemical,183.6690585,0.2991
599,164,Sorrel,chemical,260.0,0.20218
606,169,Rye,chemical,7162.610298,0.17783
613,170,Sesame,chemical,21115.6,0.17941
618,171,Garden tomato,chemical,3287.0106,0.20694
625,173,Garden tomato (var.),chemical,208.1,0.17
631,174,Eggplant,chemical,678.4642,0.19122
638,175,Potato,chemical,9507.95,0.1478
643,177,Sorghum,chemical,1741.0,0.30607
650,178,Spinach,chemical,3001.6,0.17743
655,179,Cloves,chemical,290.0,0.1539
662,182,Cocoa bean,chemical,1040.0,0.17886
672,186,Fenugreek,chemical,2017.0,0.14078
678,187,Common wheat,chemical,1745.9,0.10195
685,188,"Vaccinium (Blueberry, Cranberry, Huckleberry)",chemical,228.0,0.22026
690,191,Highbush blueberry,chemical,105.0,0.21401
696,192,American cranberry,chemical,54.056999981,0.21078999999999998
706,197,Broad bean,chemical,3248.0,0.08668
711,198,Adzuki bean,chemical,3702.05,0.19656
716,199,Gram bean,chemical,1721.0,0.15024
721,200,Mung bean,chemical,6183.7,0.17308
727,204,Common grape,chemical,213.0,0.18499
733,205,Corn,chemical,31416.1,0.2424
740,206,Ginger,chemical,472.15,0.12715
746,207,Arctic blackberry,chemical,1.4,0.90323
748,208,Banana,chemical,302.0,0.17922
753,214,Celeriac,chemical,146.0,0.23285
759,224,Longan,chemical,742.0,0.42303
764,226,Garden onion (var.),chemical,15.888333571,0.74263
767,229,Nectarine,chemical,51.0,0.24752
773,237,Swiss chard,chemical,534.975358,0.16724
779,241,Welsh onion,chemical,86.0,0.15223
784,242,Hard wheat,chemical,427.0,0.11744
789,243,Shallot,chemical,668.0,0.15901
795,244,Rocket salad,chemical,0.78,0.30469
797,245,Carrot,chemical,2646.0253,0.27413000000000004
803,246,Triticale,chemical,977.0,0.13553
808,247,Black cabbage,chemical,655.0,0.17274
813,249,Celery leaves,chemical,146.0,0.23285
819,252,Pak choy,chemical,438.0,0.26187
824,253,Napa cabbage,chemical,241.0,0.24999
829,256,Grapefruit,chemical,293.0,0.15122
836,261,Daikon radish,chemical,385.0,0.16493
844,264,Red beetroot,chemical,584.0,0.2471
850,268,Beer,chemical,235.347,0.00563
857,269,Other bread,chemical,5776.0,0.1272
862,270,Breakfast cereal,chemical,22562.0,0.1753
868,272,Other soy product,chemical,28256.0,0.14856
873,274,Pasta,chemical,17372.0,0.12757
878,275,Biscuit,chemical,18552.0,0.12839
889,280,Abalone,chemical,2203.0,0.19112
895,283,Acorn,chemical,1238.0,0.19481
900,284,Winter squash,chemical,515.0,0.18327
905,286,Red king crab,chemical,2132.0,0.17851
913,289,Amaranth,chemical,2081.6,0.1782
918,291,Arrowroot,chemical,14.0,0.19178
923,292,Asian pear,chemical,17.0,0.19767
928,293,Atlantic herring,chemical,6313.0,0.18845
933,294,Atlantic mackerel,chemical,2567.0,0.18843
938,295,Painted comber,chemical,1990.0,0.18567
943,296,Atlantic pollock,chemical,2683.0,0.18843
948,297,Atlantic wolffish,chemical,4375.0,0.19979
953,298,Bamboo shoots,chemical,350.0,0.18421
957,299,Striped bass,chemical,2447.0,0.18842
962,301,Beech nut,chemical,414.0,0.21296
967,302,Beluga whale,chemical,4268.0,0.18688
972,306,Blue crab,chemical,3956.0,0.17117
977,307,Blue mussel,chemical,2160.0,0.1925
982,308,Northern bluefin tuna,chemical,3220.0,0.18845
987,309,Bluefish,chemical,2766.0,0.18846
992,312,Breadfruit,chemical,1411.25,0.12524
997,313,Breadnut tree seed,chemical,663.0,0.12219
1002,314,Rapini,chemical,273.0,0.15406
1007,317,Burbot,chemical,2665.0,0.18842
1012,319,American butterfish,chemical,2385.0,0.18845
1017,320,Butternut,chemical,2767.9,0.18532
1022,321,Butternut squash,chemical,294.0,0.18386
1029,326,Carob,chemical,2511.0,0.17172
1034,327,Common carp,chemical,2461.0,0.18841
1039,328,Cassava,chemical,293.75,0.1998
1044,329,Channel catfish,chemical,5112.0,0.18485
1049,330,Chayote,chemical,657.0,0.19102
1054,331,Cherimoya,chemical,63.0,0.15441
1059,332,Chervil,chemical,800.0,0.24169
1064,333,Chia,chemical,1044.0,0.19854
1069,334,Chicken,chemical,15300.0,0.23196
1073,336,Chinese chestnut,chemical,874.0,0.17848
1078,339,Cisco,chemical,2138.0,0.18845
1083,341,Coconut,chemical,3275.0,0.19077
1088,342,Pacific cod,chemical,1953.0,0.1834
1093,343,Atlantic cod,chemical,7634.0,0.18844
1098,344,Common octopus,chemical,2706.0,0.1925
1103,345,Corn salad,chemical,743.0,0.18295
1108,346,Cottonseed,chemical,8005.0,0.16837
1113,347,Catjang pea,chemical,1830.0,0.16326
1118,348,Malus (Crab apple),chemical,42.0,0.1597
1123,350,Atlantic croaker,chemical,2142.0,0.18591
1128,351,Cusk,chemical,2621.0,0.18841
1133,352,Cuttlefish,chemical,2946.0,0.19245
1138,355,Dock,chemical,374.0,0.19011
1143,356,Dolphin fish,chemical,2553.0,0.18841
1148,357,Freshwater drum,chemical,2421.0,0.18845
1153,359,Dungeness crab,chemical,2247.0,0.17846
1158,361,Eastern oyster,chemical,2400.0,0.17886
1163,362,Freshwater eel,chemical,2545.0,0.18842
1168,363,Elderberry,chemical,183.42,0.15977
1173,367,European anchovy,chemical,2978.0,0.18845
1178,368,European chestnut,chemical,1597.8,0.21373
1183,369,Turbot,chemical,4215.0,0.20287
1188,371,Florida pompano,chemical,2550.0,0.18843
1193,372,Ginkgo nuts,chemical,1356.6,0.17829
1198,374,Grape,chemical,736.0,0.32622
1203,375,Greenland halibut/turbot,chemical,3503.0,0.19435
1208,377,Grouper,chemical,2675.0,0.18847
1213,379,Haddock,chemical,10069.0,0.21137
1218,380,Hippoglossus (Common halibut),chemical,5255.0,0.18702
1223,381,Hazelnut,chemical,3812.0,0.20844
1228,382,Hickory nut,chemical,662.0,0.18277
1233,384,Horseradish tree,chemical,3007.94,0.19736
1238,386,Hyacinth bean,chemical,2819.75,0.14947
1243,388,Pacific jack mackerel,chemical,1403.0,0.18847
1248,389,Jackfruit,chemical,86.0,0.19239
1253,390,Japanese chestnut,chemical,1016.0,0.25261
1258,392,Jerusalem artichoke,chemical,257.3,0.14516
1263,394,Jute,chemical,1830.0,0.19499
1268,395,Kale,chemical,1549.0,0.16387
1273,396,Kelp,chemical,122.0,0.25684
1278,397,King mackerel,chemical,2799.0,0.18841
1284,399,Lambsquarters,chemical,1998.55,0.20777
1289,401,Wild leek,chemical,903.0,0.19235
1294,402,Common ling,chemical,2620.0,0.18839
1299,403,Lingcod,chemical,2437.0,0.18842
1304,404,American lobster,chemical,1888.0,0.16608
1309,406,Lotus,chemical,1131.0,0.16662
1314,407,Sacred lotus,chemical,757.85,0.10017
1320,408,White lupine,chemical,3783.5,0.09894
1326,409,Malabar spinach,chemical,656.0,0.18249
1332,413,Milkfish,chemical,2834.0,0.18844
1337,414,Monkfish,chemical,1999.0,0.18848
1344,417,Mountain yam,chemical,372.75,0.18957
1349,418,Striped mullet,chemical,2670.0,0.18841
1354,420,White mustard,chemical,2571.5,0.13237
1360,423,Nopal,chemical,103.0,0.17547
1365,424,Ocean pout,chemical,2296.0,0.18841
1370,427,Okra,chemical,538.0,0.17838
1375,432,Pacific herring,chemical,2262.0,0.18839
1380,433,Pacific oyster,chemical,1715.0,0.1925
1385,434,Pacific rockfish,chemical,2414.0,0.18123
1390,436,Pepper (C. frutescens),chemical,375.55,0.17904
1395,437,Common persimmon,chemical,39.0,0.1814
1400,439,Northern pike,chemical,2658.0,0.18847
1405,440,Pili nut,chemical,509.0,0.16521
1410,441,Colorado pinyon,chemical,1229.0,0.18504
1416,444,French plantain,chemical,186.0,0.19235
1421,447,Opium poppy,chemical,2059.85,0.14731
1426,448,Prairie turnip,chemical,113.9,0.11535
1431,449,Prickly pear,chemical,0.65,0.78313
1433,450,Quinoa,chemical,771.0,0.15969
1438,453,Rainbow smelt,chemical,2433.0,0.18844
1443,454,Rainbow trout,chemical,5395.0,0.18849
1448,458,Orange roughy,chemical,2188.0,0.18533
1453,459,Sablefish,chemical,2919.0,0.18843
1458,460,Pink salmon,chemical,8369.0,0.18615
1463,461,Chum salmon,chemical,6562.0,0.1867
1468,462,Coho salmon,chemical,8426.0,0.18946
1473,463,Sockeye salmon,chemical,13841.0,0.18725
1478,464,Chinook salmon,chemical,6456.0,0.18995
1483,465,Atlantic salmon,chemical,5346.0,0.18882
1488,468,Sapodilla,chemical,14.0,0.10294
1493,469,Mamey sapote,chemical,73.0,0.17136
1498,470,Spanish mackerel,chemical,2594.0,0.1885
1503,471,Pacific sardine,chemical,1005.0,0.18495
1508,472,Scallop,chemical,3069.0,0.17286
1513,473,Scup,chemical,2606.0,0.18849
1518,475,Steller sea lion,chemical,200.0,0.25
1523,476,Bearded seal,chemical,11664.0,0.18949
1528,478,Sea trout,chemical,2311.0,0.18844
1535,480,American shad,chemical,2337.0,0.18845
1540,481,Shark,chemical,2366.0,0.18662
1545,482,Sheefish,chemical,1400.0,0.18543
1550,483,"Sheep (Mutton, Lamb)",chemical,9500.0,0.24485
