,food_id,food_name,flavor_group,orig_content,normalized
1,2,Savoy cabbage,floral,263.05333334,0.19837
7,4,Kiwi,floral,404.03,0.39724
13,5,Allium,floral,3958.19,0.31971
19,6,Garden onion,floral,669.5799999999999,0.1976
25,7,Leek,floral,262.0,0.34382999999999997
30,8,Garlic,floral,5343.26,0.43527
35,9,Chives,floral,4568.310000006,0.36303
40,11,Cashew nut,floral,22898.13,0.4132
45,12,Pineapple,floral,363.4,0.26624000000000003
52,13,Dill,floral,2982.456666667,0.44517999999999996
58,15,Wild celery,floral,790.22,0.39837
63,16,Peanut,floral,79892.0,0.39580000000000004
70,17,Burdock,floral,432.0,0.28383
75,18,Horseradish,floral,784.165000098,0.31459000000000004
80,19,Tarragon,floral,22.0,0.55696
86,21,Asparagus,floral,4457.89,0.31395
91,22,Oat,floral,18431.0355991,0.35872
98,23,Star fruit,floral,612.0,0.34076
103,24,Brazil nut,floral,6449.1,0.42665
108,25,Common beet,floral,981.0,0.33424
113,27,Chinese mustard,floral,592.3,0.29475
117,28,Swede,floral,237.887499995,0.44309000000000004
121,30,Common cabbage,floral,2680.142142898,0.29707
126,31,Cauliflower,floral,3412.788333333,0.34285
132,32,Brussel sprouts,floral,4409.5749999829995,0.3027
137,33,Kohlrabi,floral,569.609999828,0.49974
142,34,Broccoli,floral,4264.409933293,0.39566999999999997
147,35,Chinese cabbage,floral,215.26,0.40354999999999996
153,36,Turnip,floral,3339.726966667,0.3634
159,37,Pigeon pea,floral,4595.0,0.30325
164,38,Tea,floral,18.288454533,0.09854
169,39,Capers,floral,494.824118096,1.0
171,40,Pepper,floral,10701.49,0.33872
176,41,Papaya,floral,229.31,0.35442
181,42,Safflower,floral,6517.0,0.44261
186,43,Caraway,floral,2375.399999619,0.40402
191,44,Pecan nut,floral,9668.0,0.42225999999999997
196,45,Chestnut,floral,420.0,0.37234
201,47,Chickpea,floral,9921.25,0.33261
206,48,Endive,floral,1649.85,0.36186
211,49,Chicory,floral,926.95,0.50645
216,50,Chinese cinnamon,floral,419.0,0.30296999999999996
223,52,Watermelon,floral,4637.75,0.298
231,54,Lemon,floral,132.03,0.45604
237,56,"Mandarin orange (Clementine, Tangerine)",floral,879.7,0.35309999999999997
243,57,Sweet orange,floral,1569.59,0.17506
249,58,Coffee,floral,2815.0,0.41598
255,59,Arabica coffee,floral,2815.0,0.41586
261,60,Robusta coffee,floral,2815.0,0.41598
268,63,Saffron,floral,205.48,1.0
270,64,Muskmelon,floral,295.07,0.28316
276,65,Cucumber,floral,926.5516999969999,0.37724
282,66,Cucurbita,floral,20365.85,0.39146000000000003
286,67,Cumin,floral,122.299998474,1.0
289,72,Wild carrot,floral,1239.95,0.5344800000000001
294,73,Japanese persimmon,floral,187.0,0.35619
300,76,Loquat,floral,123.0,0.34072
305,77,Rocket salad (ssp.),floral,36.67,0.87832
307,79,Common buckwheat,floral,11393.0,0.43755
312,81,Fig,floral,1613.35,0.26192
317,82,Fennel,floral,8229.628571439,0.44795
324,83,Strawberry,floral,811.81344828,0.37246
330,85,Soy bean,floral,140034.98,0.31917
336,86,Sunflower,floral,31415.0,0.4334
344,88,Barley,floral,10657.299573,0.29857999999999996
350,90,Star anise,floral,72.0,0.69031
354,91,Swamp cabbage,floral,2279.26,0.4334
359,92,Sweet potato,floral,3058.44,0.3653
364,93,Black walnut,floral,4240.0,0.44458
369,94,Common walnut,floral,3075.0,0.41771
374,95,Lettuce,floral,2433.124871794,0.37897
378,97,Sweet bay,floral,4.82,1.0
380,98,Lentils,floral,17614.5,0.32245
386,99,Garden cress,floral,486.0,0.39835
390,100,Lovage,floral,14.0,1.0
392,101,Flaxseed,floral,8720.0,0.45497
399,105,Apple,floral,815.008785714,0.27663
405,106,Mango,floral,423.55,0.2833
410,112,Spearmint,floral,2274.0,0.37092
415,113,Peppermint,floral,367.0,0.37071
423,119,Sweet basil,floral,4356.0,0.33616
428,120,Evening primrose,floral,1742.25,0.48139
433,121,Olive,floral,188.0,0.31781
439,122,Sweet marjoram,floral,2.55,1.0
442,124,Common oregano,floral,1102.0,0.24475999999999998
448,125,Rice,floral,29166.0,0.39247
453,126,Millet,floral,5436.0,0.33428
458,127,Poppy,floral,4802.3,0.40411
463,129,Parsnip,floral,627.58170141,0.29274
469,130,Avocado,floral,1413.3,0.35572000000000004
474,131,Parsley,floral,5239.16800001,0.26805
479,133,Lima bean,floral,16599.5,0.36422
484,134,Common bean,floral,83730.124617593,0.34547
489,135,Date,floral,924.25,0.33724
495,136,Black chokeberry,floral,0.98,0.10273
497,138,Pine nut,floral,4178.0,0.38529
502,139,Pepper (Spice),floral,988.0,0.10864
507,140,Pistachio,floral,18180.45,0.41557
512,141,Common pea,floral,22168.62,0.35875
517,142,Purslane,floral,1605.66,0.3538
522,143,"Prunus (Cherry, Plum)",floral,302.02,0.34874
527,144,Apricot,floral,2102.94,0.20689
532,145,Sweet cherry,floral,47.24,0.29844000000000004
537,146,Sour cherry,floral,9.29,0.26295
539,147,European plum,floral,633.423333333,0.29921000000000003
545,148,Almond,floral,27492.4440875,0.42461
551,149,Peach,floral,2711.32,0.35489
556,150,Guava,floral,674.9000000000001,0.4164
562,152,Pear,floral,557.7,0.36809000000000003
567,153,Radish,floral,787.68,0.39078
572,154,Garden rhubarb,floral,276.0,0.43367999999999995
577,155,Blackcurrant,floral,19.257999995,0.50842
580,156,Redcurrant,floral,0.18000000000000002,1.0
581,157,Gooseberry,floral,1.755,1.0
583,158,Watercress,floral,3251.8,0.37254
588,159,Rosemary,floral,324.3,0.35783000000000004
592,160,"Rubus (Blackberry, Raspberry)",floral,0.433749998,1.0
594,162,Red raspberry,floral,97.087289741,0.1581
600,164,Sorrel,floral,500.0,0.38881
607,169,Rye,floral,12653.75,0.31417
614,170,Sesame,floral,49536.25,0.4209
619,171,Garden tomato,floral,5299.29,0.33363000000000004
623,172,Cherry tomato,floral,0.132380953,0.01848
626,173,Garden tomato (var.),floral,373.15397826,0.30482000000000004
632,174,Eggplant,floral,1265.17,0.35658
639,175,Potato,floral,23610.890000001,0.36702999999999997
644,177,Sorghum,floral,1561.0,0.27443
