,food_id,flavor_group,orig_content,normalized
2,2,fruity,760.0,0.57313
5,3,fruity,0.5,1.0
8,4,fruity,144.0,0.14158
14,5,fruity,3114.0,0.25153
20,6,fruity,246.91920000000002,0.07287
26,7,fruity,112.0,0.14698
31,8,fruity,2174.3581,0.17713
36,9,fruity,3049.75,0.24236
41,11,fruity,8873.95,0.16013
46,12,fruity,211.7,0.1551
53,13,fruity,249.973800024,0.037309999999999996
59,15,fruity,268.9,0.13556
64,16,fruity,36957.4,0.18309
71,17,fruity,350.0,0.22996
76,18,fruity,1046.5,0.41984
81,19,fruity,1.8,0.04557
87,21,fruity,3122.15,0.21988
92,22,fruity,6607.312111105,0.12859
99,23,fruity,306.0,0.17038
104,24,fruity,2992.2,0.19796
109,25,fruity,409.0,0.13935
122,30,fruity,2941.0,0.32599
127,31,fruity,1651.0,0.16586
133,32,fruity,5680.0,0.38991
143,34,fruity,1425.6651,0.13228
148,35,fruity,52.0,0.09748
154,36,fruity,1278.2573,0.13909
160,37,fruity,2620.0,0.17291
165,38,fruity,3.0,0.01616
172,40,fruity,7793.85,0.24669
177,41,fruity,81.75,0.12635
182,42,fruity,2325.0,0.15791
187,43,fruity,917.0,0.15597
192,44,fruity,4063.0,0.17745
197,45,fruity,220.0,0.19504
202,47,fruity,5243.0,0.17577
207,48,fruity,799.5,0.17535
212,49,fruity,114.05,0.062310000000000004
217,50,fruity,419.0,0.30296
224,52,fruity,2799.7,0.17989
232,54,fruity,52.0,0.17961
238,56,fruity,661.5500000000001,0.26554
244,57,fruity,1557.614271894,0.17373
250,58,fruity,1374.035,0.20305
256,59,fruity,1374.035,0.20299
262,60,fruity,1374.035,0.20305
266,61,fruity,125.000000024,0.56687
271,64,fruity,95.0,0.09116
277,65,fruity,277.9328,0.11316
283,66,fruity,6971.25,0.134
290,72,fruity,133.25,0.05744
295,73,fruity,75.0,0.14286
301,76,fruity,81.0,0.22438
308,79,fruity,4343.5,0.16681
313,81,fruity,2003.8,0.32531
318,82,fruity,3663.65,0.19941
325,83,fruity,356.100000001,0.16338
331,85,fruity,84211.95109999999,0.19194
337,86,fruity,12554.0,0.17319
345,88,fruity,10114.8,0.28339
355,91,fruity,856.25,0.16282
360,92,fruity,1185.5,0.1416
365,93,fruity,1576.0,0.16525
370,94,fruity,1269.5,0.17245
375,95,fruity,924.0,0.14392
381,98,fruity,8865.25,0.16229
387,99,fruity,198.0,0.1623
393,101,fruity,3006.0,0.15684
400,105,fruity,1049.75,0.3563
406,106,fruity,174.0,0.11638
411,112,fruity,951.699999988,0.15523
416,113,fruity,154.0,0.15556
424,119,fruity,3406.0,0.26285000000000003
429,120,fruity,609.85,0.16851
434,121,fruity,124.904667493,0.21115
443,124,fruity,1718.0,0.38158
449,125,fruity,13177.725999993,0.17733000000000002
454,126,fruity,3807.0,0.2341
459,127,fruity,2200.0,0.18513
464,129,fruity,242.8526,0.11327999999999999
470,130,fruity,630.65,0.15873
475,131,fruity,3083.600000024,0.15776
480,133,fruity,5195.75,0.114
485,134,fruity,39384.25,0.1625
490,135,fruity,573.146666765,0.20912999999999998
498,138,fruity,2013.0,0.18563
503,139,fruity,1413.0,0.15538
508,140,fruity,6799.05,0.15542
513,141,fruity,9122.5,0.14763
518,142,fruity,888.0,0.19566
523,143,fruity,194.0,0.22401
528,144,fruity,4168.5,0.41009
533,145,fruity,39.0,0.24638
540,147,fruity,651.85,0.30791
546,148,fruity,11953.022000001,0.1846
552,149,fruity,1299.95,0.17015
557,150,fruity,244.5,0.15085
563,152,fruity,308.45,0.20358
568,153,fruity,255.5,0.12676
573,154,fruity,96.4,0.15148
578,155,fruity,9.8,0.25873
584,158,fruity,1246.0,0.14275
589,159,fruity,142.131666616,0.15683
595,162,fruity,0.519999981,0.00085
601,164,fruity,240.0,0.18663
604,165,fruity,8.119999885999999,1.0
608,169,fruity,10399.791999996,0.25821000000000005
615,170,fruity,18754.85,0.15935
620,171,fruity,2387.0348,0.15028
627,173,fruity,212.323,0.17345
633,174,fruity,501.3133,0.14129
640,175,fruity,10239.0,0.15916
645,177,fruity,1460.0,0.25667
652,178,fruity,2241.05,0.13247
657,179,fruity,390.0,0.20697
664,182,fruity,720.0,0.12383
669,183,fruity,6.099999905,0.00286
674,186,fruity,2687.0,0.18754
680,187,fruity,6058.781999807,0.35381
687,188,fruity,174.0,0.16809
692,191,fruity,93.7,0.19098
698,192,fruity,35.733999997,0.13934
708,197,fruity,3442.676000001,0.09187999999999999
