,food_id,food_name,flavor_group,orig_content,normalized
3,2,Savoy cabbage,green,70.0,0.05279
9,4,Kiwi,green,115.0,0.11307
15,5,Allium,green,1327.0,0.10719
21,6,Garden onion,green,286.51,0.08455
27,7,Leek,green,58.0,0.07612
32,8,Garlic,green,1130.0,0.09205
37,9,Chives,green,1385.75,0.11012
42,11,Cashew nut,green,5989.25,0.10808
47,12,Pineapple,green,174.35,0.12774
54,13,Dill,green,263.44,0.03932
60,15,Wild celery,green,148.75,0.07499
65,16,Peanut,green,29820.4,0.14773
72,17,Burdock,green,120.0,0.07884
77,18,Horseradish,green,175.0,0.07021
82,19,Tarragon,green,4.4,0.11139
88,21,Asparagus,green,1082.7,0.07625
93,22,Oat,green,5687.384163,0.11069
100,23,Star fruit,green,272.0,0.15145
105,24,Brazil nut,green,1724.9,0.11412
110,25,Common beet,green,391.0,0.13322
114,27,Chinese mustard,green,753.0,0.37472
118,28,Swede,green,73.0,0.13597
123,30,Common cabbage,green,644.0,0.07138
128,31,Cauliflower,green,841.0,0.08449
134,32,Brussel sprouts,green,551.23,0.03784
138,33,Kohlrabi,green,0.021,1e-05
144,34,Broccoli,green,864.98,0.08026
149,35,Chinese cabbage,green,48.0,0.08999
155,36,Turnip,green,980.76,0.10672
161,37,Pigeon pea,green,1400.25,0.09241
166,38,Tea,green,3.0,0.01616
173,40,Pepper,green,2615.75,0.08279
178,41,Papaya,green,41.9,0.06476
183,42,Safflower,green,1700.0,0.11546
188,43,Caraway,green,642.0,0.10919
193,44,Pecan nut,green,2373.0,0.10364
198,45,Chestnut,green,108.0,0.09574
203,47,Chickpea,green,3084.25,0.1034
208,48,Endive,green,542.05,0.11889
213,49,Chicory,green,30.0,0.01639
218,50,Chinese cinnamon,green,136.0,0.09834
225,52,Watermelon,green,2219.3,0.1426
228,53,Lime,green,3.400000095,0.04072
233,54,Lemon,green,22.480000011999998,0.07765
235,55,Pummelo,green,50.03,1.0
239,56,"Mandarin orange (Clementine, Tangerine)",green,165.95,0.06661
245,57,Sweet orange,green,4344.264999905,0.48454
251,58,Coffee,green,660.209999979,0.09756
257,59,Arabica coffee,green,660.209999979,0.09753
263,60,Robusta coffee,green,660.209999979,0.09756
272,64,Muskmelon,green,70.0,0.06717
278,65,Cucumber,green,220.6,0.08982
284,66,Cucurbita,green,6664.75,0.12811
287,71,Globe artichoke,green,12.5,1.0
291,72,Wild carrot,green,492.0,0.21208
296,73,Japanese persimmon,green,55.0,0.10476
302,76,Loquat,green,39.0,0.10803
309,79,Common buckwheat,green,1901.0,0.07301
314,81,Fig,green,755.6,0.12267
319,82,Fennel,green,1639.9,0.08926
326,83,Strawberry,green,212.26,0.09738999999999999
332,85,Soy bean,green,55493.5,0.12649
338,86,Sunflower,green,6955.7,0.09596
346,88,Barley,green,3392.7227528,0.09505
356,91,Swamp cabbage,green,779.25,0.14817
361,92,Sweet potato,green,952.2,0.11373
366,93,Black walnut,green,1230.0,0.12897
371,94,Common walnut,green,881.27299999,0.11972
376,95,Lettuce,green,589.65,0.09184
382,98,Lentils,green,6129.25,0.1122
388,99,Garden cress,green,134.0,0.10984
394,101,Flaxseed,green,1853.0,0.09668
396,102,Mexican oregano,green,387.499989827,1.0
401,105,Apple,green,172.45,0.05853
407,106,Mango,green,121.0,0.08093
412,112,Spearmint,green,699.0,0.11402
417,113,Peppermint,green,113.0,0.11414
425,119,Sweet basil,green,1259.0,0.09716
430,120,Evening primrose,green,351.45,0.09711
435,121,Olive,green,50.0,0.08452
444,124,Common oregano,green,669.0,0.14859
450,125,Rice,green,8789.0,0.11827
455,126,Millet,green,1454.0,0.08941
460,127,Poppy,green,1380.0,0.11613
465,129,Parsnip,green,200.67527887,0.09361
471,130,Avocado,green,351.7,0.08852
476,131,Parsley,green,1515.0,0.07751
481,133,Lima bean,green,5502.5,0.12073
486,134,Common bean,green,24916.7,0.10281
491,135,Date,green,176.0,0.06422
499,138,Pine nut,green,1549.0,0.14284
504,139,Pepper (Spice),green,5833.0,0.64141
509,140,Pistachio,green,3894.362,0.08902
514,141,Common pea,green,6319.85,0.10227
519,142,Purslane,green,300.0,0.0661
524,143,"Prunus (Cherry, Plum)",green,72.0,0.08314
529,144,Apricot,green,644.75,0.06343
534,145,Sweet cherry,green,14.0,0.08845
541,147,European plum,green,130.25,0.06153
547,148,Almond,green,6735.7262,0.10403
553,149,Peach,green,851.9,0.11151
558,150,Guava,green,98.0,0.06046
564,152,Pear,green,77.75,0.05132
569,153,Radish,green,171.5,0.08508
574,154,Garden rhubarb,green,68.0,0.10685
585,158,Watercress,green,816.5,0.09354
590,159,Rosemary,green,124.86,0.13777
596,162,Red raspberry,green,10.12805641,0.01649
602,164,Sorrel,green,166.0,0.12908
605,166,Black elderberry,green,255.0,1.0
609,169,Rye,green,3216.07,0.07985
616,170,Sesame,green,16779.9072,0.14257
621,171,Garden tomato,green,1999.68,0.12589
624,172,Cherry tomato,green,7.031666698,0.98152
628,173,Garden tomato (var.),green,126.814571429,0.1036
634,174,Eggplant,green,370.52,0.10443
641,175,Potato,green,7738.84,0.1203
646,177,Sorghum,green,532.67,0.09364
653,178,Spinach,green,2350.3,0.13893
658,179,Cloves,green,190.0,0.10083
665,182,Cocoa bean,green,570.0,0.09803
670,183,Common thyme,green,250.65,0.11734
675,186,Fenugreek,green,1504.5,0.10501
681,187,Common wheat,green,1655.0,0.09664
688,188,"Vaccinium (Blueberry, Cranberry, Huckleberry)",green,101.0,0.09757
693,191,Highbush blueberry,green,30.0,0.06115
699,192,American cranberry,green,32.0,0.12478
709,197,Broad bean,green,2627.75,0.07013
714,198,Adzuki bean,green,1886.9,0.10019
719,199,Gram bean,green,1251.0,0.10921
724,200,Mung bean,green,3983.6,0.1115
730,204,Common grape,green,58.85,0.05111
736,205,Corn,green,14801.35,0.1142
743,206,Ginger,green,369.1,0.0994
751,208,Banana,green,153.0,0.0908
756,214,Celeriac,green,54.0,0.08612
762,224,Longan,green,119.0,0.06784
770,229,Nectarine,green,21.0,0.10192
776,237,Swiss chard,green,208.1800982,0.06508
782,241,Welsh onion,green,55.0,0.09735
787,242,Hard wheat,green,357.0,0.09819
792,243,Shallot,green,428.0,0.10188
800,245,Carrot,green,1159.83,0.12015999999999999
806,246,Triticale,green,770.0,0.10681
811,247,Black cabbage,green,411.0,0.10839
