,food_id,food_name,flavor_group,orig_content,normalized
4,2,Savoy cabbage,milky,93.0,0.07013
10,4,Kiwi,milky,173.0,0.17009
16,5,Allium,milky,2231.0,0.18021
22,6,Garden onion,milky,553.99,0.16348
28,7,Leek,milky,110.0,0.14436
33,8,Garlic,milky,2051.0,0.16708
38,9,Chives,milky,1351.0,0.10736
43,11,Cashew nut,milky,8648.05,0.15606
48,12,Pineapple,milky,253.9,0.18602
55,13,Dill,milky,2431.19,0.3629
56,14,Custard apple,milky,120.5,1.0
61,15,Wild celery,milky,404.5,0.20392
66,16,Peanut,milky,23875.85,0.11828
73,17,Burdock,milky,452.0,0.29698
78,18,Horseradish,milky,210.0,0.08425
89,21,Asparagus,milky,2364.0,0.16648
94,22,Oat,milky,6889.335913,0.13409
101,23,Star fruit,milky,393.0,0.21882
106,24,Brazil nut,milky,1572.35,0.10402
111,25,Common beet,milky,542.0,0.18467
115,27,Chinese mustard,milky,648.0,0.32247
119,28,Swede,milky,123.0,0.2291
124,30,Common cabbage,milky,1085.0,0.12027
129,31,Cauliflower,milky,1645.0,0.16526
135,32,Brussel sprouts,milky,2366.8,0.16247
139,33,Kohlrabi,milky,570.1,0.50017
145,34,Broccoli,milky,2598.65,0.24111
150,35,Chinese cabbage,milky,74.0,0.13873
156,36,Turnip,milky,1737.22,0.18903
162,37,Pigeon pea,milky,4007.0,0.26445
167,38,Tea,milky,3.0,0.01616
174,40,Pepper,milky,5268.15,0.16675
179,41,Papaya,milky,178.4,0.27573
184,42,Safflower,milky,1710.0,0.11614
189,43,Caraway,milky,1031.0,0.17536
194,44,Pecan nut,milky,2357.0,0.10294
199,45,Chestnut,milky,120.0,0.10638
204,47,Chickpea,milky,6531.25,0.21896
209,48,Endive,milky,727.75,0.15962
214,49,Chicory,milky,663.3,0.3624
219,50,Chinese cinnamon,milky,243.0,0.1757
226,52,Watermelon,milky,2653.5,0.1705
229,53,Lime,milky,79.5,0.9521
234,54,Lemon,milky,25.0,0.08635
240,56,"Mandarin orange (Clementine, Tangerine)",milky,318.95,0.12803
246,57,Sweet orange,milky,638.9,0.07126
252,58,Coffee,milky,285.0,0.04211
258,59,Arabica coffee,milky,285.0,0.0421
264,60,Robusta coffee,milky,285.0,0.04211
273,64,Muskmelon,milky,119.0,0.1142
279,65,Cucumber,milky,522.8,0.21286
285,66,Cucurbita,milky,9468.75,0.182
292,72,Wild carrot,milky,183.75,0.0792
297,73,Japanese persimmon,milky,111.0,0.21143
303,76,Loquat,milky,46.0,0.12742
310,79,Common buckwheat,milky,3680.0,0.14133
315,81,Fig,milky,553.8,0.08991
320,82,Fennel,milky,1518.0,0.08263
327,83,Strawberry,milky,310.0,0.14223
333,85,Soy bean,milky,91716.5,0.20905
339,86,Sunflower,milky,9624.0,0.13277
347,88,Barley,milky,3610.1633708,0.10115
357,91,Swamp cabbage,milky,283.0,0.05381
362,92,Sweet potato,milky,1689.5,0.20179
367,93,Black walnut,milky,713.0,0.07476
372,94,Common walnut,milky,819.25,0.11129
377,95,Lettuce,milky,1300.0,0.20248
383,98,Lentils,milky,13153.0,0.24078
389,99,Garden cress,milky,160.0,0.13115
395,101,Flaxseed,milky,2062.0,0.10759
397,103,Lichee,milky,269.0,1.0
402,105,Apple,milky,477.3,0.162
408,106,Mango,milky,286.5,0.19163
413,112,Spearmint,milky,999.0,0.16295
418,113,Peppermint,milky,161.00055,0.16263
426,119,Sweet basil,milky,1878.0,0.14493
431,120,Evening primrose,milky,347.1,0.09591
436,121,Olive,milky,70.0,0.11833
445,124,Common oregano,milky,500.0,0.11105
451,125,Rice,milky,7618.0,0.10251
456,126,Millet,milky,1023.0,0.06291
461,127,Poppy,milky,1100.0,0.09257
466,129,Parsnip,milky,320.85995493,0.14967
472,130,Avocado,milky,722.15,0.18176
477,131,Parsley,milky,6761.7,0.34594
482,133,Lima bean,milky,10943.5,0.24012
487,134,Common bean,milky,56259.55,0.23213
492,135,Date,milky,298.0,0.10873
500,138,Pine nut,milky,1080.0,0.09959
505,139,Pepper (Spice),milky,244.0,0.02683
510,140,Pistachio,milky,7235.75,0.1654
515,141,Common pea,milky,13699.25,0.22169
520,142,Purslane,milky,879.5,0.19379
525,143,"Prunus (Cherry, Plum)",milky,114.0,0.13164
530,144,Apricot,milky,1758.75,0.17302
535,145,Sweet cherry,milky,32.0,0.20216
542,147,European plum,milky,255.95,0.1209
548,148,Almond,milky,6669.3,0.103
554,149,Peach,milky,920.65,0.12051
559,150,Guava,milky,201.3,0.1242
565,152,Pear,milky,287.25,0.18959
570,153,Radish,milky,479.75,0.23801
575,154,Garden rhubarb,milky,80.0,0.12571
586,158,Watercress,milky,1639.0,0.18777
591,159,Rosemary,milky,143.0,0.15779
597,162,Red raspberry,milky,15.14378462,0.02466
603,164,Sorrel,milky,120.0,0.09331
610,169,Rye,milky,3768.98,0.09357
617,170,Sesame,milky,11505.95,0.09776
622,171,Garden tomato,milky,2911.0,0.18327
629,173,Garden tomato (var.),milky,273.75,0.22363
635,174,Eggplant,milky,613.01,0.17277
642,175,Potato,milky,13232.76,0.2057
647,177,Sorghum,milky,391.0,0.06874
654,178,Spinach,milky,3303.2,0.19526
659,179,Cloves,milky,370.0,0.19636
661,180,Tamarind,milky,449.8,1.0
666,182,Cocoa bean,milky,80.0,0.01376
671,183,Common thyme,milky,548.3,0.25668
676,186,Fenugreek,milky,3375.75,0.23562
682,187,Common wheat,milky,3254.0,0.19002
689,188,"Vaccinium (Blueberry, Cranberry, Huckleberry)",milky,87.0,0.08405
694,191,Highbush blueberry,milky,45.0,0.09172
700,192,American cranberry,milky,39.0,0.15207
710,197,Broad bean,milky,5131.25,0.13695
715,198,Adzuki bean,milky,4778.2,0.2537
720,199,Gram bean,milky,2674.0,0.23344
725,200,Mung bean,milky,7973.95,0.22319
731,204,Common grape,milky,157.1,0.13644
737,205,Corn,milky,12188.45,0.09404
744,206,Ginger,milky,540.0,0.14542
752,208,Banana,milky,270.0,0.16023
757,214,Celeriac,milky,73.0,0.11643
763,224,Longan,milky,218.0,0.12429
771,229,Nectarine,milky,32.0,0.15531
777,237,Swiss chard,milky,820.0560393000001,0.25635
783,241,Welsh onion,milky,95.0,0.16816
788,242,Hard wheat,milky,303.0,0.08334
793,243,Shallot,milky,739.0,0.17591
801,245,Carrot,milky,1432.92,0.14845
807,246,Triticale,milky,734.0,0.10182
812,247,Black cabbage,milky,729.0,0.19226
817,249,Celery leaves,milky,73.0,0.11643
823,252,Pak choy,milky,364.0,0.21763
828,253,Napa cabbage,milky,249.0,0.25829
