,food_id,flavor_name,food_name,orig_content,flavor_group,normalized
4,2,ketone,Savoy cabbage,140.0,chemical,0.10558
12,4,ketone,Kiwi,181.0,chemical,0.17796
20,5,ketone,Allium,1745.0,chemical,0.14095
22,5,mercaptan,Allium,5.01,chemical,0.0004
28,6,ketone,Garden onion,528.51349412,chemical,0.15597
31,6,mercaptan,Garden onion,1.0101,chemical,0.0003
38,7,ketone,Leek,220.0,chemical,0.28871
44,8,ketone,Garlic,1577.0,chemical,0.12847
46,8,mercaptan,Garlic,0.030100000000000002,chemical,0.0
53,9,ketone,Chives,2215.5,chemical,0.17606
55,9,mercaptan,Chives,13.5,chemical,0.00107
61,11,ketone,Cashew nut,9007.05,chemical,0.16253
68,12,ketone,Pineapple,230.45,chemical,0.16884
76,13,ketone,Dill,684.8475688,chemical,0.10223
79,13,mercaptan,Dill,87.1229,chemical,0.013
87,15,ketone,Wild celery,371.25,chemical,0.18716
95,16,ketone,Peanut,31305.35,chemical,0.15509
103,17,ketone,Burdock,168.0,chemical,0.11038
109,18,ketone,Horseradish,277.0,chemical,0.11113
114,19,mercaptan,Tarragon,10.7,chemical,0.27089
123,21,ketone,Asparagus,3167.05,chemical,0.22304
125,21,mercaptan,Asparagus,5.7,chemical,0.0004
131,22,ketone,Oat,8491.917295700001,chemical,0.16528
141,23,ketone,Star fruit,213.0,chemical,0.1186
147,24,ketone,Brazil nut,2376.85,chemical,0.15725
153,25,ketone,Common beet,612.0,chemical,0.20852
158,27,mercaptan,Chinese mustard,16.2,chemical,0.00806
164,28,ketone,Swede,103.0,chemical,0.19185
170,30,ketone,Common cabbage,1648.0,chemical,0.18267
172,30,mercaptan,Common cabbage,23.6,chemical,0.00262
178,31,ketone,Cauliflower,2404.0,chemical,0.24151
186,32,ketone,Brussel sprouts,1560.0,chemical,0.10709
195,33,slight,Kohlrabi,0.076,chemical,7e-05
200,34,ketone,Broccoli,1623.62,chemical,0.15064
209,35,ketone,Chinese cabbage,144.0,chemical,0.26996
211,35,mercaptan,Chinese cabbage,0.16,chemical,0.0003
217,36,ketone,Turnip,1853.78,chemical,0.20171
227,37,ketone,Pigeon pea,2530.0,chemical,0.16697
235,38,ketone,Tea,4.0,chemical,0.02155
243,40,ketone,Pepper,5214.2,chemical,0.16504
250,41,ketone,Papaya,115.65,chemical,0.17875
257,42,ketone,Safflower,2472.0,chemical,0.16789
263,43,ketone,Caraway,914.0,chemical,0.15546
270,44,ketone,Pecan nut,4435.0,chemical,0.1937
276,45,ketone,Chestnut,260.0,chemical,0.2305
282,47,ketone,Chickpea,5049.0,chemical,0.16927
288,48,ketone,Endive,840.2,chemical,0.18428
295,49,ketone,Chicory,96.0,chemical,0.05245
303,50,ketone,Chinese cinnamon,166.0,chemical,0.12003
311,52,ketone,Watermelon,3253.0,chemical,0.20902
321,54,ketone,Lemon,58.0,chemical,0.20034
331,56,ketone,"Mandarin orange (Clementine, Tangerine)",404.5,chemical,0.16237
342,57,ketone,Sweet orange,707.25,chemical,0.07888
355,58,ketone,Coffee,1339.0,chemical,0.19786
364,59,ketone,Arabica coffee,1339.0,chemical,0.19781
373,60,ketone,Robusta coffee,1339.0,chemical,0.19786
383,64,ketone,Muskmelon,463.0,chemical,0.44431
390,65,ketone,Cucumber,490.75,chemical,0.19981
393,65,mercaptan,Cucumber,0.1321,chemical,5e-05
401,66,ketone,Cucurbita,8554.5,chemical,0.16443
411,72,ketone,Wild carrot,271.0,chemical,0.11681
419,73,ketone,Japanese persimmon,97.0,chemical,0.18476
426,76,ketone,Loquat,72.0,chemical,0.19945
428,77,mercaptan,Rocket salad (ssp.),5.08,chemical,0.12168
434,79,ketone,Common buckwheat,4721.0,chemical,0.18131
440,81,ketone,Fig,1233.2,chemical,0.2002
448,82,ketone,Fennel,3176.25,chemical,0.17289
450,82,mercaptan,Fennel,18.600000191,chemical,0.00101
457,83,ketone,Strawberry,489.0,chemical,0.22436
467,85,ketone,Soy bean,67275.25,chemical,0.15334
476,86,ketone,Sunflower,11937.0,chemical,0.16468
