,food_id,flavor_name,food_name,orig_content,flavor_group,normalized
1,2,everlasting,Savoy cabbage,172.0,floral,0.12971
3,2,foliage,Savoy cabbage,90.0,floral,0.06787
6,2,neroli,Savoy cabbage,1.05333334,floral,0.00079
9,4,everlasting,Kiwi,197.0,floral,0.19369
11,4,foliage,Kiwi,206.0,floral,0.20254
14,4,neroli,Kiwi,1.03,floral,0.00101
17,5,everlasting,Allium,1789.0,floral,0.1445
19,5,foliage,Allium,2158.0,floral,0.17431
23,5,neroli,Allium,11.19,floral,0.0009
25,6,everlasting,Garden onion,274.27,floral,0.08094
27,6,foliage,Garden onion,395.31,floral,0.11666
35,7,everlasting,Leek,150.0,floral,0.19685
37,7,foliage,Leek,112.0,floral,0.14698
41,8,everlasting,Garlic,3118.0,floral,0.254
43,8,foliage,Garlic,2225.0,floral,0.18125
47,8,neroli,Garlic,0.26,floral,2e-05
50,9,everlasting,Chives,2158.0,floral,0.17149
52,9,foliage,Chives,2372.25,floral,0.18852
56,9,neroli,Chives,38.060000005999996,floral,0.00302
58,11,everlasting,Cashew nut,12631.0,floral,0.22793
60,11,foliage,Cashew nut,10266.95,floral,0.18527
63,11,neroli,Cashew nut,0.18,floral,0.0
65,12,everlasting,Pineapple,172.2,floral,0.12616
67,12,foliage,Pineapple,191.2,floral,0.14008
73,13,everlasting,Dill,2753.87,floral,0.41106
75,13,foliage,Dill,188.59,floral,0.02815
80,13,neroli,Dill,39.996666667,floral,0.00597
84,15,everlasting,Wild celery,446.0,floral,0.22484
86,15,foliage,Wild celery,344.0,floral,0.17342
89,15,neroli,Wild celery,0.22,floral,0.00011
92,16,everlasting,Peanut,33109.35,floral,0.16403
94,16,foliage,Peanut,46782.65,floral,0.23177
100,17,everlasting,Burdock,224.0,floral,0.14717
102,17,foliage,Burdock,208.0,floral,0.13666
106,18,everlasting,Horseradish,478.0,floral,0.19176
108,18,foliage,Horseradish,303.0,floral,0.12156
111,18,neroli,Horseradish,3.165000098,floral,0.00127
115,19,neroli,Tarragon,22.0,floral,0.55696
120,21,everlasting,Asparagus,2471.3,floral,0.17404
122,21,foliage,Asparagus,1985.2,floral,0.13981
126,21,neroli,Asparagus,1.39,floral,0.0001
128,22,everlasting,Oat,10639.6193261,floral,0.20708
130,22,foliage,Oat,7791.416273,floral,0.15164
138,23,everlasting,Star fruit,306.0,floral,0.17038
140,23,foliage,Star fruit,306.0,floral,0.17038
144,24,everlasting,Brazil nut,3622.75,floral,0.23967
146,24,foliage,Brazil nut,2826.35,floral,0.18698
150,25,everlasting,Common beet,536.0,floral,0.18262
152,25,foliage,Common beet,445.0,floral,0.15162
156,27,everlasting,Chinese mustard,554.0,floral,0.27569
159,27,neroli,Chinese mustard,38.3,floral,0.01906
161,28,everlasting,Swede,150.0,floral,0.27939
163,28,foliage,Swede,87.0,floral,0.16205
165,28,neroli,Swede,0.887499995,floral,0.00165
167,30,everlasting,Common cabbage,1582.0,floral,0.17535
169,30,foliage,Common cabbage,1024.0,floral,0.1135
173,30,neroli,Common cabbage,74.14214289799999,floral,0.00822
175,31,everlasting,Cauliflower,2106.0,floral,0.21157
177,31,foliage,Cauliflower,1305.0,floral,0.1311
180,31,neroli,Cauliflower,1.788333333,floral,0.00018
183,32,everlasting,Brussel sprouts,3306.85,floral,0.227
185,32,foliage,Brussel sprouts,1100.0,floral,0.07551
188,32,neroli,Brussel sprouts,2.724999983,floral,0.00019
191,33,everlasting,Kohlrabi,556.75,floral,0.48846
193,33,neroli,Kohlrabi,12.859999828,floral,0.01128
197,34,everlasting,Broccoli,3029.18,floral,0.28106
199,34,foliage,Broccoli,1204.96,floral,0.1118
203,34,neroli,Broccoli,30.269933293,floral,0.00281
206,35,everlasting,Chinese cabbage,112.0,floral,0.20997
208,35,foliage,Chinese cabbage,72.0,floral,0.13498
212,35,neroli,Chinese cabbage,31.26,floral,0.0586
214,36,everlasting,Turnip,1773.46,floral,0.19297
216,36,foliage,Turnip,1551.22,floral,0.16879
220,36,neroli,Turnip,15.046966667,floral,0.00164
224,37,everlasting,Pigeon pea,2501.5,floral,0.16509
226,37,foliage,Pigeon pea,2093.5,floral,0.13816
232,38,everlasting,Tea,3.0,floral,0.01616
234,38,foliage,Tea,5.0,floral,0.02694
237,38,neroli,Tea,10.288454533,floral,0.05544
238,39,neroli,Capers,494.824118096,floral,1.0
240,40,everlasting,Pepper,5598.5,floral,0.1772
242,40,foliage,Pepper,5102.9,floral,0.16152
245,40,neroli,Pepper,0.09,floral,0.0
247,41,everlasting,Papaya,81.75,floral,0.12635
249,41,foliage,Papaya,147.55,floral,0.22805
252,41,neroli,Papaya,0.01,floral,2e-05
254,42,everlasting,Safflower,3283.0,floral,0.22297
256,42,foliage,Safflower,3234.0,floral,0.21964
260,43,everlasting,Caraway,1037.0,floral,0.17638
262,43,foliage,Caraway,1322.0,floral,0.22485
265,43,neroli,Caraway,16.399999619,floral,0.00279
267,44,everlasting,Pecan nut,4629.0,floral,0.20218
269,44,foliage,Pecan nut,5039.0,floral,0.22008
273,45,everlasting,Chestnut,220.0,floral,0.19504
275,45,foliage,Chestnut,200.0,floral,0.1773
279,47,everlasting,Chickpea,5089.0,floral,0.17061
281,47,foliage,Chickpea,4832.25,floral,0.162
285,48,everlasting,Endive,853.75,floral,0.18725
287,48,foliage,Endive,786.0,floral,0.17239
290,48,neroli,Endive,10.1,floral,0.00222
292,49,everlasting,Chicory,876.5,floral,0.47888
294,49,foliage,Chicory,48.0,floral,0.02623
297,49,neroli,Chicory,2.45,floral,0.00134
300,50,everlasting,Chinese cinnamon,224.0,floral,0.16197
302,50,foliage,Chinese cinnamon,195.0,floral,0.141
308,52,everlasting,Watermelon,2820.5,floral,0.18123
310,52,foliage,Watermelon,1816.8,floral,0.11674
313,52,neroli,Watermelon,0.45,floral,3e-05
318,54,everlasting,Lemon,36.0,floral,0.12435
320,54,foliage,Lemon,96.0,floral,0.33159
323,54,neroli,Lemon,0.03,floral,0.0001
328,56,everlasting,"Mandarin orange (Clementine, Tangerine)",310.8,floral,0.12475
330,56,foliage,"Mandarin orange (Clementine, Tangerine)",568.9,floral,0.22835
339,57,everlasting,Sweet orange,583.0,floral,0.06502
341,57,foliage,Sweet orange,986.35,floral,0.11001
344,57,neroli,Sweet orange,0.24000000000000002,floral,3e-05
352,58,everlasting,Coffee,1083.0,floral,0.16004
354,58,foliage,Coffee,1732.0,floral,0.25594
361,59,everlasting,Arabica coffee,1083.0,floral,0.15999
363,59,foliage,Arabica coffee,1732.0,floral,0.25587
370,60,everlasting,Robusta coffee,1083.0,floral,0.16004
372,60,foliage,Robusta coffee,1732.0,floral,0.25594
378,63,neroli,Saffron,205.48,floral,1.0
380,64,everlasting,Muskmelon,167.0,floral,0.16026
382,64,foliage,Muskmelon,128.0,floral,0.12283
385,64,neroli,Muskmelon,0.07,floral,7e-05
387,65,everlasting,Cucumber,429.09999999999997,floral,0.17471
389,65,foliage,Cucumber,497.2,floral,0.20243
394,65,neroli,Cucumber,0.251699997,floral,0.0001
398,66,everlasting,Cucurbita,10361.75,floral,0.19917
400,66,foliage,Cucurbita,10004.1,floral,0.19229
403,67,greenleaf,Cumin,83.7,floral,0.68438
404,67,neroli,Cumin,38.599998474,floral,0.31562
408,72,everlasting,Wild carrot,202.0,floral,0.08707
410,72,foliage,Wild carrot,137.75,floral,0.05938
413,72,neroli,Wild carrot,0.2,floral,9e-05
414,72,unripe plum,Wild carrot,900.0,floral,0.38794
416,73,everlasting,Japanese persimmon,102.0,floral,0.19429
418,73,foliage,Japanese persimmon,85.0,floral,0.1619
423,76,everlasting,Loquat,63.0,floral,0.17452
425,76,foliage,Loquat,60.0,floral,0.1662
429,77,neroli,Rocket salad (ssp.),36.67,floral,0.87832
431,79,everlasting,Common buckwheat,5061.0,floral,0.19437
433,79,foliage,Common buckwheat,6332.0,floral,0.24318
437,81,everlasting,Fig,844.0,floral,0.13702
439,81,foliage,Fig,769.35,floral,0.1249
444,82,everlasting,Fennel,3694.35,floral,0.20109
446,82,foliage,Fennel,4467.7,floral,0.24318
447,82,greenleaf,Fennel,54.578571438999994,floral,0.00297
451,82,neroli,Fennel,13.0,floral,0.00071
454,83,everlasting,Strawberry,409.0,floral,0.18765
456,83,foliage,Strawberry,400.0,floral,0.18352
459,83,neroli,Strawberry,2.81344828,floral,0.00129
464,85,everlasting,Soy bean,74240.0,floral,0.16921
466,85,foliage,Soy bean,65793.75,floral,0.14996
469,85,neroli,Soy bean,1.23,floral,0.0
473,86,everlasting,Sunflower,15825.0,floral,0.21832
475,86,foliage,Sunflower,15590.0,floral,0.21508
484,88,everlasting,Barley,6677.037191,floral,0.18707
486,88,foliage,Barley,3980.262382,floral,0.11151
490,90,greenleaf,Star anise,52.0,floral,0.49856
492,90,unripe plum,Star anise,20.0,floral,0.19175
495,91,everlasting,Swamp cabbage,1315.0,floral,0.25005
497,91,foliage,Swamp cabbage,964.0,floral,0.1833
500,91,neroli,Swamp cabbage,0.26,floral,5e-05
502,92,everlasting,Sweet potato,1810.3,floral,0.21622
504,92,foliage,Sweet potato,1245.25,floral,0.14873
508,92,neroli,Sweet potato,2.8899999999999997,floral,0.00035
510,93,everlasting,Black walnut,2241.0,floral,0.23498
512,93,foliage,Black walnut,1999.0,floral,0.2096
516,94,everlasting,Common walnut,1489.75,floral,0.20237
518,94,foliage,Common walnut,1585.25,floral,0.21534
523,95,everlasting,Lettuce,1349.35,floral,0.21017
525,95,foliage,Lettuce,1083.5,floral,0.16876
528,95,neroli,Lettuce,0.274871794,floral,4e-05
529,97,neroli,Sweet bay,4.82,floral,1.0
531,98,everlasting,Lentils,10340.25,floral,0.18929
533,98,foliage,Lentils,7274.25,floral,0.13316
538,99,everlasting,Garden cress,260.0,floral,0.21311
540,99,foliage,Garden cress,200.0,floral,0.16393
544,99,neroli,Garden cress,26.0,floral,0.02131
545,100,neroli,Lovage,14.0,floral,1.0
547,101,everlasting,Flaxseed,4072.0,floral,0.21246
549,101,foliage,Flaxseed,4648.0,floral,0.24251
555,105,everlasting,Apple,449.0,floral,0.1524
557,105,foliage,Apple,365.85,floral,0.12418
560,105,neroli,Apple,0.15878571400000002,floral,5e-05
564,106,everlasting,Mango,242.0,floral,0.16187
566,106,foliage,Mango,181.5,floral,0.1214
569,106,neroli,Mango,0.05,floral,3e-05
571,112,everlasting,Spearmint,1159.0,floral,0.18905
573,112,foliage,Spearmint,1115.0,floral,0.18187
578,113,everlasting,Peppermint,187.0,floral,0.18889
580,113,foliage,Peppermint,180.0,floral,0.18182
588,119,everlasting,Sweet basil,2294.0,floral,0.17703
590,119,foliage,Sweet basil,2062.0,floral,0.15913
595,120,everlasting,Evening primrose,692.25,floral,0.19127
597,120,foliage,Evening primrose,1050.0,floral,0.29012
601,121,everlasting,Olive,82.0,floral,0.13862
603,121,foliage,Olive,106.0,floral,0.17919
610,122,unripe plum,Sweet marjoram,2.55,floral,1.0
612,124,everlasting,Common oregano,585.0,floral,0.12993
614,124,foliage,Common oregano,517.0,floral,0.11483
622,125,everlasting,Rice,16696.0,floral,0.22467
624,125,foliage,Rice,12470.0,floral,0.1678
629,126,everlasting,Millet,4226.0,floral,0.25987
631,126,foliage,Millet,1210.0,floral,0.07441
635,127,everlasting,Poppy,2600.0,floral,0.21879
637,127,foliage,Poppy,2200.0,floral,0.18513
641,127,neroli,Poppy,2.3,floral,0.00019
643,129,everlasting,Parsnip,357.3196,floral,0.16667
645,129,foliage,Parsnip,270.26210141,floral,0.12607
652,130,everlasting,Avocado,745.0,floral,0.18751
654,130,foliage,Avocado,668.3,floral,0.16821
658,131,everlasting,Parsley,2833.0,floral,0.14494
660,131,foliage,Parsley,2401.0,floral,0.12284
664,131,neroli,Parsley,1.93000001,floral,0.0001
665,131,unripe plum,Parsley,3.238,floral,0.00017
668,133,everlasting,Lima bean,9911.0,floral,0.21746
670,133,foliage,Lima bean,6688.5,floral,0.14676
674,134,everlasting,Common bean,49151.75,floral,0.2028
676,134,foliage,Common bean,34536.9,floral,0.1425
679,134,neroli,Common bean,41.474617593,floral,0.00017
681,135,everlasting,Date,400.75,floral,0.14623
683,135,foliage,Date,523.5,floral,0.19101
690,136,neroli,Black chokeberry,0.98,floral,0.10273
692,138,everlasting,Pine nut,2087.0,floral,0.19246
694,138,foliage,Pine nut,2091.0,floral,0.19283
699,139,everlasting,Pepper (Spice),547.0,floral,0.06015
701,139,foliage,Pepper (Spice),441.0,floral,0.04849
705,140,everlasting,Pistachio,10193.4,floral,0.233
707,140,foliage,Pistachio,7987.05,floral,0.18257
712,141,everlasting,Common pea,13354.25,floral,0.21611
714,141,foliage,Common pea,8764.3,floral,0.14183
717,141,neroli,Common pea,50.07,floral,0.00081
719,142,everlasting,Purslane,900.0,floral,0.19831
721,142,foliage,Purslane,705.0,floral,0.15534
725,142,neroli,Purslane,0.66,floral,0.00015
727,143,everlasting,"Prunus (Cherry, Plum)",162.0,floral,0.18706
729,143,foliage,"Prunus (Cherry, Plum)",140.0,floral,0.16166
732,143,neroli,"Prunus (Cherry, Plum)",0.02,floral,2e-05
734,144,everlasting,Apricot,1169.75,floral,0.11508
