,food_id,flavor_name,food_name,orig_content,flavor_group,normalized
5,2,lemon peel,Savoy cabbage,760.0,fruity,0.57313
7,3,watercress,Silver linden,0.5,fruity,1.0
13,4,lemon peel,Kiwi,144.0,fruity,0.14158
21,5,lemon peel,Allium,3114.0,fruity,0.25153
30,6,lemon peel,Garden onion,220.15,fruity,0.06497
32,6,watercress,Garden onion,26.7692,fruity,0.0079
39,7,lemon peel,Leek,112.0,fruity,0.14698
45,8,lemon peel,Garlic,2174.0,fruity,0.1771
48,8,watercress,Garlic,0.3581,fruity,3e-05
54,9,lemon peel,Chives,3049.75,fruity,0.24236
62,11,lemon peel,Cashew nut,8873.95,fruity,0.16013
69,12,lemon peel,Pineapple,211.7,fruity,0.1551
78,13,lemon peel,Dill,248.0,fruity,0.03702
81,13,watercress,Dill,1.973800024,fruity,0.00029
88,15,lemon peel,Wild celery,268.9,fruity,0.13556
96,16,lemon peel,Peanut,36953.1,fruity,0.18307
97,16,watercress,Peanut,4.3,fruity,2e-05
104,17,lemon peel,Burdock,350.0,fruity,0.22996
110,18,lemon peel,Horseradish,1042.0,fruity,0.41803
112,18,watercress,Horseradish,4.5,fruity,0.00181
117,19,watercress,Tarragon,1.8,fruity,0.04557
124,21,lemon peel,Asparagus,3122.15,fruity,0.21988
132,22,lemon peel,Oat,6606.6,fruity,0.12858
135,22,watercress,Oat,0.712111105,fruity,1e-05
142,23,lemon peel,Star fruit,306.0,fruity,0.17038
148,24,lemon peel,Brazil nut,2992.2,fruity,0.19796
154,25,lemon peel,Common beet,409.0,fruity,0.13935
171,30,lemon peel,Common cabbage,2941.0,fruity,0.32599
179,31,lemon peel,Cauliflower,1651.0,fruity,0.16586
187,32,lemon peel,Brussel sprouts,5680.0,fruity,0.38991
202,34,lemon peel,Broccoli,1422.0,fruity,0.13194
204,34,watercress,Broccoli,3.6651,fruity,0.00034
210,35,lemon peel,Chinese cabbage,52.0,fruity,0.09748
219,36,lemon peel,Turnip,1278.0,fruity,0.13906
221,36,watercress,Turnip,0.2573,fruity,3e-05
228,37,lemon peel,Pigeon pea,2620.0,fruity,0.17291
236,38,lemon peel,Tea,3.0,fruity,0.01616
244,40,lemon peel,Pepper,7793.85,fruity,0.24669
251,41,lemon peel,Papaya,81.75,fruity,0.12635
258,42,lemon peel,Safflower,2325.0,fruity,0.15791
264,43,lemon peel,Caraway,917.0,fruity,0.15597
271,44,lemon peel,Pecan nut,4063.0,fruity,0.17745
277,45,lemon peel,Chestnut,220.0,fruity,0.19504
283,47,lemon peel,Chickpea,5243.0,fruity,0.17577
289,48,lemon peel,Endive,799.5,fruity,0.17535
296,49,lemon peel,Chicory,114.0,fruity,0.06228
298,49,watercress,Chicory,0.05,fruity,3e-05
304,50,lemon peel,Chinese cinnamon,419.0,fruity,0.30296
312,52,lemon peel,Watermelon,2799.7,fruity,0.17989
322,54,lemon peel,Lemon,52.0,fruity,0.17961
332,56,lemon peel,"Mandarin orange (Clementine, Tangerine)",661.45,fruity,0.2655
334,56,red hots,"Mandarin orange (Clementine, Tangerine)",0.1,fruity,4e-05
343,57,lemon peel,Sweet orange,1556.65,fruity,0.17362
346,57,powderful,Sweet orange,0.964271894,fruity,0.00011
356,58,lemon peel,Coffee,1374.0,fruity,0.20304
357,58,watercress,Coffee,0.035,fruity,1e-05
365,59,lemon peel,Arabica coffee,1374.0,fruity,0.20298
366,59,watercress,Arabica coffee,0.035,fruity,1e-05
374,60,lemon peel,Robusta coffee,1374.0,fruity,0.20304
375,60,watercress,Robusta coffee,0.035,fruity,1e-05
376,61,watercress,Coriander,125.000000024,fruity,0.56687
384,64,lemon peel,Muskmelon,95.0,fruity,0.09116
392,65,lemon peel,Cucumber,272.9,fruity,0.11111
396,65,watercress,Cucumber,5.0328,fruity,0.00205
402,66,lemon peel,Cucurbita,6971.25,fruity,0.134
412,72,lemon peel,Wild carrot,133.25,fruity,0.05744
420,73,lemon peel,Japanese persimmon,75.0,fruity,0.14286
427,76,lemon peel,Loquat,81.0,fruity,0.22438
435,79,lemon peel,Common buckwheat,4343.5,fruity,0.16681
441,81,lemon peel,Fig,2003.8,fruity,0.32531
449,82,lemon peel,Fennel,3663.65,fruity,0.19941
458,83,lemon peel,Strawberry,356.0,fruity,0.16333
461,83,watercress,Strawberry,0.100000001,fruity,5e-05
468,85,lemon peel,Soy bean,84211.7,fruity,0.19194
470,85,watercress,Soy bean,0.2511,fruity,0.0
477,86,lemon peel,Sunflower,12554.0,fruity,0.17319
488,88,lemon peel,Barley,10114.8,fruity,0.28339
499,91,lemon peel,Swamp cabbage,856.25,fruity,0.16282
506,92,lemon peel,Sweet potato,1185.5,fruity,0.1416
514,93,lemon peel,Black walnut,1576.0,fruity,0.16525
520,94,lemon peel,Common walnut,1269.5,fruity,0.17245
527,95,lemon peel,Lettuce,924.0,fruity,0.14392
535,98,lemon peel,Lentils,8865.25,fruity,0.16229
542,99,lemon peel,Garden cress,198.0,fruity,0.1623
551,101,lemon peel,Flaxseed,3006.0,fruity,0.15684
559,105,lemon peel,Apple,1049.75,fruity,0.3563
568,106,lemon peel,Mango,174.0,fruity,0.11638
575,112,lemon peel,Spearmint,951.0,fruity,0.15512
576,112,watercress,Spearmint,0.699999988,fruity,0.00011
582,113,lemon peel,Peppermint,154.0,fruity,0.15556
592,119,lemon peel,Sweet basil,3392.0,fruity,0.26177
593,119,watercress,Sweet basil,14.0,fruity,0.00108
599,120,lemon peel,Evening primrose,609.85,fruity,0.16851
605,121,lemon peel,Olive,87.0,fruity,0.14707
608,121,watercress,Olive,37.904667493,fruity,0.06408
616,124,lemon peel,Common oregano,1712.0,fruity,0.38025
619,124,watercress,Common oregano,6.0,fruity,0.00133
626,125,lemon peel,Rice,13177.0,fruity,0.17732
627,125,watercress,Rice,0.725999993,fruity,1e-05
633,126,lemon peel,Millet,3807.0,fruity,0.2341
639,127,lemon peel,Poppy,2200.0,fruity,0.18513
647,129,lemon peel,Parsnip,240.0,fruity,0.11195
650,129,watercress,Parsnip,2.8526,fruity,0.00133
656,130,lemon peel,Avocado,630.65,fruity,0.15873
662,131,lemon peel,Parsley,3083.0,fruity,0.15773
666,131,watercress,Parsley,0.600000024,fruity,3e-05
672,133,lemon peel,Lima bean,5195.75,fruity,0.114
678,134,lemon peel,Common bean,39384.25,fruity,0.1625
685,135,lemon peel,Date,566.5,fruity,0.2067
687,135,watercress,Date,6.646666765000001,fruity,0.00243
696,138,lemon peel,Pine nut,2013.0,fruity,0.18563
703,139,lemon peel,Pepper (Spice),1413.0,fruity,0.15538
709,140,lemon peel,Pistachio,6799.05,fruity,0.15542
716,141,lemon peel,Common pea,9122.5,fruity,0.14763
723,142,lemon peel,Purslane,888.0,fruity,0.19566
731,143,lemon peel,"Prunus (Cherry, Plum)",194.0,fruity,0.22401
738,144,lemon peel,Apricot,4168.5,fruity,0.41009
745,145,lemon peel,Sweet cherry,39.0,fruity,0.24638
755,147,lemon peel,European plum,651.85,fruity,0.30791
763,148,lemon peel,Almond,11952.85,fruity,0.1846
767,148,watercress,Almond,0.172000001,fruity,0.0
774,149,lemon peel,Peach,1299.95,fruity,0.17015
781,150,lemon peel,Guava,244.5,fruity,0.15085
789,152,lemon peel,Pear,308.45,fruity,0.20358
796,153,lemon peel,Radish,255.5,fruity,0.12676
803,154,lemon peel,Garden rhubarb,96.0,fruity,0.15085
804,154,watercress,Garden rhubarb,0.4,fruity,0.00063
806,155,lemon peel,Blackcurrant,9.8,fruity,0.25873
817,158,lemon peel,Watercress,1246.0,fruity,0.14275
824,159,lemon peel,Rosemary,136.0,fruity,0.15006
827,159,watercress,Rosemary,6.1316666159999995,fruity,0.00677
836,162,watercress,Red raspberry,0.519999981,fruity,0.00085
843,164,lemon peel,Sorrel,240.0,fruity,0.18663
844,165,watercress,Common sage,8.119999885999999,fruity,1.0
851,169,lemon peel,Rye,10396.75,fruity,0.25813
854,169,watercress,Rye,3.041999996,fruity,8e-05
861,170,lemon peel,Sesame,18754.85,fruity,0.15935
867,171,lemon peel,Garden tomato,2387.0,fruity,0.15028
871,171,watercress,Garden tomato,0.0348,fruity,0.0
879,173,lemon peel,Garden tomato (var.),212.3,fruity,0.17343
883,173,watercress,Garden tomato (var.),0.023,fruity,2e-05
889,174,lemon peel,Eggplant,501.0,fruity,0.1412
893,174,watercress,Eggplant,0.3133,fruity,9e-05
901,175,lemon peel,Potato,10239.0,fruity,0.15916
908,177,lemon peel,Sorghum,1460.0,fruity,0.25667
917,178,lemon peel,Spinach,2241.05,fruity,0.13247
924,179,lemon peel,Cloves,390.0,fruity,0.20697
935,182,lemon peel,Cocoa bean,720.0,fruity,0.12383
939,183,watercress,Common thyme,6.099999905,fruity,0.00286
945,186,lemon peel,Fenugreek,2687.0,fruity,0.18754
953,187,lemon peel,Common wheat,6052.15,fruity,0.35342
954,187,watercress,Common wheat,6.631999807,fruity,0.00039
961,188,lemon peel,"Vaccinium (Blueberry, Cranberry, Huckleberry)",174.0,fruity,0.16809
968,191,lemon peel,Highbush blueberry,93.7,fruity,0.19098
977,192,lemon peel,American cranberry,31.0,fruity,0.12088
980,192,watercress,American cranberry,4.733999997,fruity,0.01846
990,197,lemon peel,Broad bean,3442.25,fruity,0.09187
992,197,papaya,Broad bean,0.42600000099999996,fruity,1e-05
