,food_id,flavor_name,food_name,orig_content,flavor_group,normalized
0,2,diphenyl oxide,Savoy cabbage,70.0,green,0.05279
8,4,diphenyl oxide,Kiwi,115.0,green,0.11307
16,5,diphenyl oxide,Allium,1327.0,green,0.10719
24,6,diphenyl oxide,Garden onion,286.51,green,0.08455
34,7,diphenyl oxide,Leek,58.0,green,0.07612
40,8,diphenyl oxide,Garlic,1130.0,green,0.09205
49,9,diphenyl oxide,Chives,1385.75,green,0.11012
57,11,diphenyl oxide,Cashew nut,5989.25,green,0.10808
64,12,diphenyl oxide,Pineapple,174.35,green,0.12774
72,13,diphenyl oxide,Dill,263.44,green,0.03932
83,15,diphenyl oxide,Wild celery,148.75,green,0.07499
91,16,diphenyl oxide,Peanut,29820.4,green,0.14773
99,17,diphenyl oxide,Burdock,120.0,green,0.07884
105,18,diphenyl oxide,Horseradish,175.0,green,0.07021
116,19,plant,Tarragon,4.4,green,0.11139
119,21,diphenyl oxide,Asparagus,1082.7,green,0.07625
127,22,diphenyl oxide,Oat,5687.384163,green,0.11069
137,23,diphenyl oxide,Star fruit,272.0,green,0.15145
143,24,diphenyl oxide,Brazil nut,1724.9,green,0.11412
149,25,diphenyl oxide,Common beet,391.0,green,0.13322
155,27,diphenyl oxide,Chinese mustard,753.0,green,0.37472
160,28,diphenyl oxide,Swede,73.0,green,0.13597
166,30,diphenyl oxide,Common cabbage,644.0,green,0.07138
174,31,diphenyl oxide,Cauliflower,841.0,green,0.08449
182,32,diphenyl oxide,Brussel sprouts,546.0,green,0.03748
189,32,plant,Brussel sprouts,5.23,green,0.00036
190,33,cookedvegetable,Kohlrabi,0.017,green,1e-05
194,33,sickening,Kohlrabi,0.004,green,0.0
196,34,diphenyl oxide,Broccoli,864.98,green,0.08026
205,35,diphenyl oxide,Chinese cabbage,48.0,green,0.08999
213,36,diphenyl oxide,Turnip,980.76,green,0.10672
223,37,diphenyl oxide,Pigeon pea,1400.25,green,0.09241
229,38,diphenyl oxide,Tea,3.0,green,0.01616
239,40,diphenyl oxide,Pepper,2615.75,green,0.08279
246,41,diphenyl oxide,Papaya,41.9,green,0.06476
253,42,diphenyl oxide,Safflower,1700.0,green,0.11546
259,43,diphenyl oxide,Caraway,642.0,green,0.10919
266,44,diphenyl oxide,Pecan nut,2373.0,green,0.10364
272,45,diphenyl oxide,Chestnut,108.0,green,0.09574
278,47,diphenyl oxide,Chickpea,3084.25,green,0.1034
284,48,diphenyl oxide,Endive,542.05,green,0.11889
291,49,diphenyl oxide,Chicory,30.0,green,0.01639
299,50,diphenyl oxide,Chinese cinnamon,136.0,green,0.09834
307,52,diphenyl oxide,Watermelon,2219.3,green,0.1426
315,53,plant,Lime,3.400000095,green,0.04072
317,54,diphenyl oxide,Lemon,20.0,green,0.06908
324,54,plant,Lemon,2.4800000119999996,green,0.00857
325,55,plant,Pummelo,50.03,green,1.0
326,56,cypress,"Mandarin orange (Clementine, Tangerine)",0.1,green,4e-05
327,56,diphenyl oxide,"Mandarin orange (Clementine, Tangerine)",150.85,green,0.06055
333,56,plant,"Mandarin orange (Clementine, Tangerine)",15.0,green,0.00602
337,57,cypress,Sweet orange,0.05,green,1e-05
338,57,diphenyl oxide,Sweet orange,236.4,green,0.02637
345,57,plant,Sweet orange,4107.814999905,green,0.45816
349,58,cookedvegetable,Coffee,1.209999979,green,0.00018
