,food_id,flavor_name,food_name,orig_content,flavor_group,normalized
2,2,feta cheese,Savoy cabbage,93.0,milky,0.07013
10,4,feta cheese,Kiwi,173.0,milky,0.17009
18,5,feta cheese,Allium,2231.0,milky,0.18021
26,6,feta cheese,Garden onion,553.99,milky,0.16348
36,7,feta cheese,Leek,110.0,milky,0.14436
42,8,feta cheese,Garlic,2051.0,milky,0.16708
51,9,feta cheese,Chives,1351.0,milky,0.10736
59,11,feta cheese,Cashew nut,8648.05,milky,0.15606
66,12,feta cheese,Pineapple,253.9,milky,0.18602
74,13,feta cheese,Dill,2431.19,milky,0.3629
82,14,feta cheese,Custard apple,120.5,milky,1.0
85,15,feta cheese,Wild celery,404.5,milky,0.20392
93,16,feta cheese,Peanut,23875.85,milky,0.11828
101,17,feta cheese,Burdock,452.0,milky,0.29698
107,18,feta cheese,Horseradish,210.0,milky,0.08425
121,21,feta cheese,Asparagus,2364.0,milky,0.16648
129,22,feta cheese,Oat,6889.335913,milky,0.13409
139,23,feta cheese,Star fruit,393.0,milky,0.21882
145,24,feta cheese,Brazil nut,1572.35,milky,0.10402
151,25,feta cheese,Common beet,542.0,milky,0.18467
157,27,feta cheese,Chinese mustard,648.0,milky,0.32247
162,28,feta cheese,Swede,123.0,milky,0.2291
168,30,feta cheese,Common cabbage,1085.0,milky,0.12027
176,31,feta cheese,Cauliflower,1645.0,milky,0.16526
184,32,feta cheese,Brussel sprouts,2366.8,milky,0.16247
192,33,feta cheese,Kohlrabi,570.1,milky,0.50017
198,34,feta cheese,Broccoli,2598.65,milky,0.24111
207,35,feta cheese,Chinese cabbage,74.0,milky,0.13873
215,36,feta cheese,Turnip,1737.22,milky,0.18903
225,37,feta cheese,Pigeon pea,4007.0,milky,0.26445
233,38,feta cheese,Tea,3.0,milky,0.01616
241,40,feta cheese,Pepper,5268.15,milky,0.16675
248,41,feta cheese,Papaya,178.4,milky,0.27573
255,42,feta cheese,Safflower,1710.0,milky,0.11614
261,43,feta cheese,Caraway,1031.0,milky,0.17536
268,44,feta cheese,Pecan nut,2357.0,milky,0.10294
274,45,feta cheese,Chestnut,120.0,milky,0.10638
280,47,feta cheese,Chickpea,6531.25,milky,0.21896
286,48,feta cheese,Endive,727.75,milky,0.15962
293,49,feta cheese,Chicory,663.3,milky,0.3624
301,50,feta cheese,Chinese cinnamon,243.0,milky,0.1757
309,52,feta cheese,Watermelon,2653.5,milky,0.1705
314,53,feta cheese,Lime,79.5,milky,0.9521
319,54,feta cheese,Lemon,25.0,milky,0.08635
329,56,feta cheese,"Mandarin orange (Clementine, Tangerine)",318.95,milky,0.12803
340,57,feta cheese,Sweet orange,638.9,milky,0.07126
353,58,feta cheese,Coffee,285.0,milky,0.04211
362,59,feta cheese,Arabica coffee,285.0,milky,0.0421
371,60,feta cheese,Robusta coffee,285.0,milky,0.04211
381,64,feta cheese,Muskmelon,119.0,milky,0.1142
388,65,feta cheese,Cucumber,522.8,milky,0.21286
399,66,feta cheese,Cucurbita,9468.75,milky,0.182
409,72,feta cheese,Wild carrot,183.75,milky,0.0792
417,73,feta cheese,Japanese persimmon,111.0,milky,0.21143
424,76,feta cheese,Loquat,46.0,milky,0.12742
432,79,feta cheese,Common buckwheat,3680.0,milky,0.14133
438,81,feta cheese,Fig,553.8,milky,0.08991
445,82,feta cheese,Fennel,1518.0,milky,0.08263
455,83,feta cheese,Strawberry,310.0,milky,0.14223
465,85,feta cheese,Soy bean,91716.5,milky,0.20905
474,86,feta cheese,Sunflower,9624.0,milky,0.13277
485,88,feta cheese,Barley,3610.1633708,milky,0.10115
496,91,feta cheese,Swamp cabbage,283.0,milky,0.05381
503,92,feta cheese,Sweet potato,1689.5,milky,0.20179
511,93,feta cheese,Black walnut,713.0,milky,0.07476
517,94,feta cheese,Common walnut,819.25,milky,0.11129
524,95,feta cheese,Lettuce,1300.0,milky,0.20248
532,98,feta cheese,Lentils,13153.0,milky,0.24078
539,99,feta cheese,Garden cress,160.0,milky,0.13115
548,101,feta cheese,Flaxseed,2062.0,milky,0.10759
553,103,feta cheese,Lichee,269.0,milky,1.0
556,105,feta cheese,Apple,477.3,milky,0.162
565,106,feta cheese,Mango,286.5,milky,0.19163
572,112,feta cheese,Spearmint,999.0,milky,0.16295
579,113,feta cheese,Peppermint,161.0,milky,0.16263
584,113,yeasty,Peppermint,0.00055,milky,0.0
589,119,feta cheese,Sweet basil,1878.0,milky,0.14493
596,120,feta cheese,Evening primrose,347.1,milky,0.09591
602,121,feta cheese,Olive,70.0,milky,0.11833
613,124,feta cheese,Common oregano,500.0,milky,0.11105
623,125,feta cheese,Rice,7618.0,milky,0.10251
630,126,feta cheese,Millet,1023.0,milky,0.06291
636,127,feta cheese,Poppy,1100.0,milky,0.09257
644,129,feta cheese,Parsnip,320.85995493,milky,0.14967
